"order_timestamp","user_id","order_number","total_item_amount","total_shipping_fee","total_point_spent"
"2019-06-03 14:57:08.085",4051,"88082414595514013",45400,5000,0
"2019-06-03 16:53:51.811",2235,"32813484595519297",45500,2500,0
"2019-06-03 17:33:07.682",7268,"68678705595519566",19800,2500,0
"2019-06-03 20:35:32.875",6122,"87823716595518618",34900,2500,0
"2019-06-03 21:14:32.676",12433,"77627046595514190",12000,2500,0
"2019-06-03 22:31:00.227",2691,"33206686595513668",68300,5000,0
"2019-06-03 22:55:05.874",4218,"67850107595517127",20000,2500,0
"2019-06-04 00:31:50.718",12397,"02701957595510945",44800,5000,0
"2019-06-04 00:44:42.799",2704,"00828667595513067",15300,2500,0
"2019-06-04 01:53:55.608",5387,"90653808595518668",19500,2500,0
"2019-06-04 10:04:31.726",1574,"82717201695510285",41200,2500,0
"2019-06-04 11:06:49.946",928,"05990041695511107",50800,2500,0
"2019-06-04 11:34:36.591",477,"39567651695515880",24700,2500,0
"2019-06-04 13:32:47.387",4575,"19376722695511549",70900,5000,0
"2019-06-04 14:46:31.228",1005,"23219172695515221",57600,4500,0
"2019-06-04 15:41:33.398",11280,"00439403695510503",17500,2500,0
"2019-06-04 15:56:37.636",2999,"04679313695516902",32000,2500,0
"2019-06-04 16:50:20.347",8450,"94302643695518609",18000,2500,0
"2019-06-04 18:24:08.031",8830,"43084204695514460",43000,2500,0
"2019-06-04 18:28:57.685",477,"88673504695513747",24700,2500,0
"2019-06-04 20:40:08.894",8496,"59880484695516811",15900,2500,0
"2019-06-04 22:56:01.381",1357,"58316565695515355",29500,2500,0
"2019-06-04 23:20:04.208",8882,"11240085695513317",74500,0,0
"2019-06-04 23:36:15.767",10940,"07757985695511133",15500,2500,0
"2019-06-04 23:42:33.132",477,"33135395695510625",28800,2500,0
"2019-06-05 02:30:34.978",8165,"28943496695510741",69000,0,0
"2019-06-05 03:20:45.175",7270,"87154427695518251",32000,2500,0
"2019-06-05 04:36:37.573",9918,"67579967695510169",58700,5000,0
"2019-06-05 07:36:26.42",8337,"22468778695515456",61800,2500,0
"2019-06-05 10:11:46.006",1301,"01060179695517142",13800,2500,0
"2019-06-05 10:31:28.537",4088,"14588289695516391",14900,3000,0
"2019-06-05 12:04:12.212",1424,"31225830795513339",109010,2000,0
"2019-06-05 12:17:19.338",1983,"93393640795510282",61000,0,0
